Argentina       | 201.251.62.245:3128
Brazil          | 186.225.99.140:80
Brazil          | 187.45.112.5:3128
Canada          | 47.88.9.157:3128
China           | 122.94.17.247:8118
China           | 58.20.128.123:8000
China           | 58.20.128.123:8000
Finland         | 188.165.141.151:80
France          | 37.187.117.157:312
Germany         | 87.106.162.134:80
HongKong        | 113.255.61.57:80
HongKong        | 218.213.166.218:81
India           | 124.123.126.224:9064
Netherlands     | 82.196.3.30:3128
Portugal        | 212.13.49.186:8085
Russia          | 31.173.74.73:8080
USA             | 208.67.1.154:80
USA             | 40.118.131.11:8080
USA             | 69.168.236.163:80
USA             | 74.118.186.244:80
Venezuela       | 190.207.145.145:8080
